offset,    maximum,      name
0.02626,   624.4861,     L1V2
-0.0001,   104.09,       L1V2B
0.04418,   1534.6979,    L1V1
0.03524,   624.6125,     L1V1B
0.00124,   104.0115,     IN
0.00518,   103.8367,     OUT
0.00420,   624.3857,     L2V1
-0.00753,  624.6099,     L2V2
-0.05271,  623.4556,     L3V1
-0.004,    102.2,        BPF_V0
0.,        0.,           --------
0.0271,    625.3671,     DRET2
-0.02435,  4159.0106,    MCP2
0.00782,   625.2938,     ANODE2
0.,        0.,           --------
0.,        0.,           --------
0.,        0.,           --------
0.04241,   625.3676,     DRET3
0.00164,   4151.9776,    MCP3
0.0092,    623.4831,     ANODE3
0.,        1597.6,       --------
0.1,       4149.,        --------
